Year,source,energy_type,total_btu,full_source,highlight_col,name_lab
1964,Commercial,Hydroelectric,25.584000000000003,"Hydroelectric, Commercial",other,NA
1964,Commercial,Solar,22654.956,"Solar, Commercial","Solar, Commercial","Solar, Commercial"
1964,Commercial,Wind,30206.608,"Wind, Commercial",other,NA
1964,Industrial,Geothermal,22635.768,"Geothermal, Industrial",other,NA
1964,Industrial,Hydroelectric,1646.6399999999999,"Hydroelectric, Industrial",other,NA
1964,Industrial,Solar,22654.956,"Solar, Industrial","Solar, Industrial","Solar, Industrial"
1964,Industrial,Wind,30206.608,"Wind, Industrial",other,NA
1964,Residential,Geothermal,22635.768,"Geothermal, Residential",other,NA
1964,Residential,Solar,22654.956,"Solar, Residential","Solar, Residential","Solar, Residential"
1964,Transportation,Geothermal,22712.52,"Geothermal, Transportation",other,NA
1964,Transportation,Hydroelectric,88947.59999999999,"Hydroelectric, Transportation",other,NA
1964,Transportation,Solar,22654.956,"Solar, Transportation",other,NA
1964,Transportation,Wind,30206.608,"Wind, Transportation",other,NA
1965,Commercial,Geothermal,24708.924,"Geothermal, Commercial",other,NA
1965,Commercial,Hydroelectric,23.736,"Hydroelectric, Commercial",other,NA
1965,Commercial,Solar,24726.726,"Solar, Commercial","Solar, Commercial","Solar, Commercial"
1965,Commercial,Wind,32968.968,"Wind, Commercial",other,NA
1965,Industrial,Geothermal,24708.924,"Geothermal, Industrial",other,NA
1965,Industrial,Hydroelectric,1596.072,"Hydroelectric, Industrial",other,NA
1965,Industrial,Solar,24726.726,"Solar, Industrial","Solar, Industrial","Solar, Industrial"
1965,Industrial,Wind,32968.968,"Wind, Industrial",other,NA
1965,Residential,Geothermal,24708.924,"Geothermal, Residential",other,NA
1965,Residential,Solar,24726.726,"Solar, Residential","Solar, Residential","Solar, Residential"
1965,Transportation,Geothermal,24780.131999999998,"Geothermal, Transportation",other,NA
1965,Transportation,Hydroelectric,97287.09599999999,"Hydroelectric, Transportation",other,NA
1965,Transportation,Solar,24726.726,"Solar, Transportation",other,NA
1965,Transportation,Wind,32968.968,"Wind, Transportation",other,NA
1966,Commercial,Geothermal,24738.228000000003,"Geothermal, Commercial",other,NA
1966,Commercial,Hydroelectric,23.496,"Hydroelectric, Commercial",other,NA
1966,Commercial,Solar,24755.850000000002,"Solar, Commercial","Solar, Commercial","Solar, Commercial"
1966,Commercial,Wind,33007.8,"Wind, Commercial",other,NA
1966,Industrial,Geothermal,24738.228000000003,"Geothermal, Industrial",other,NA
1966,Industrial,Hydroelectric,1614.12,"Hydroelectric, Industrial",other,NA
1966,Industrial,Solar,24755.850000000002,"Solar, Industrial","Solar, Industrial","Solar, Industrial"
1966,Industrial,Wind,33007.8,"Wind, Industrial",other,NA
1966,Residential,Geothermal,24738.228000000003,"Geothermal, Residential",other,NA
1966,Residential,Solar,24755.850000000002,"Solar, Residential","Solar, Residential","Solar, Residential"
